angle_right_shoulder_hip_knee,angle_right_hip_knee_ankle,angle_left_shoulder_hip_knee,angle_left_hip_knee_ankle,angle_right_elbow_shoulder_hip,angle_left_elbow_shoulder_hip,angle_right_wrist_elbow_shoulder,angle_left_wrist_elbow_shoulder,ndright_shoulder,aright_shoulder,ndright_elbow,aright_elbow,ndright_wrist,aright_wrist,ndright_hip,aright_hip,ndright_knee,aright_knee,ndright_ankle,aright_ankle,ndleft_shoulder,aleft_shoulder,ndleft_elbow,aleft_elbow,ndleft_wrist,aleft_wrist,ndleft_hip,aleft_hip,ndleft_knee,aleft_knee,ndleft_ankle,aleft_ankle,pose
181.6,184.5,132.4,320.9,167.7,151.9,154.5,233.1,0.04,129.2,0.0,228.3,0.09,269.1,0.4,95.2,0.72,91.2,1.0,90.7,0.01,74.0,0.01,335.9,0.09,276.3,0.38,83.2,0.58,68.7,0.53,85.4,1.0
227.9,37.4,175.5,176.4,198.3,193.0,141.6,192.5,0.01,103.2,0.0,227.0,0.13,270.9,0.4,97.1,0.58,111.3,0.54,93.5,0.05,47.6,0.02,314.3,0.12,281.3,0.41,85.1,0.72,88.4,1.0,88.9,1.0
181.2,184.7,132.7,319.1,169.7,164.3,168.3,216.7,0.03,128.5,0.0,228.8,0.15,263.6,0.4,95.2,0.72,91.1,1.0,90.7,0.01,72.8,0.0,314.0,0.14,270.3,0.38,83.0,0.57,68.7,0.53,85.7,1.0
226.8,34.9,175.2,176.3,196.1,191.7,149.9,191.1,0.01,100.4,0.0,237.5,0.15,272.6,0.4,97.3,0.58,111.4,0.53,94.3,0.05,45.5,0.02,319.0,0.15,281.1,0.41,85.6,0.72,88.7,1.0,89.0,1.0
181.2,184.8,133.8,319.6,168.9,167.2,171.5,209.3,0.04,134.3,0.01,222.1,0.15,259.7,0.39,95.7,0.71,91.2,1.0,90.6,0.01,76.3,0.0,302.0,0.17,267.0,0.37,83.3,0.56,69.0,0.52,86.6,1.0
226.5,34.7,176.1,175.2,194.3,192.6,153.7,188.3,0.02,99.5,0.0,241.5,0.16,272.8,0.4,97.2,0.58,111.2,0.53,94.1,0.05,46.2,0.03,313.1,0.16,279.7,0.42,85.7,0.72,88.9,1.0,89.0,1.0
180.7,186.2,132.4,37.1,170.3,168.4,172.0,204.3,0.03,133.5,0.01,218.3,0.15,258.3,0.4,95.5,0.71,91.0,1.0,90.8,0.0,76.8,0.0,297.3,0.17,268.1,0.38,83.3,0.56,68.9,0.52,86.0,1.0
226.8,33.3,177.1,174.5,193.6,195.0,156.0,183.7,0.03,92.7,0.0,250.1,0.17,275.5,0.41,95.7,0.58,110.3,0.53,93.3,0.06,41.8,0.04,311.1,0.18,281.5,0.42,84.3,0.72,88.3,1.0,88.6,1.0
180.4,186.8,131.7,33.8,170.6,166.0,170.8,205.8,0.05,136.4,0.03,220.5,0.17,257.2,0.41,96.1,0.72,91.3,1.0,91.1,0.0,82.3,0.01,293.5,0.19,266.5,0.39,84.1,0.57,68.9,0.52,85.7,1.0
226.5,33.6,176.5,174.8,192.6,194.0,158.8,184.2,0.01,95.4,0.0,251.3,0.17,273.9,0.4,96.4,0.57,110.5,0.52,93.7,0.04,41.2,0.03,308.3,0.18,280.1,0.41,85.3,0.71,88.7,1.0,88.8,1.0
